well position(Plate/Well),Bacteria code,Sample number ,Culture condition ,Sequence ID,Best hit name,Source,Taxonomy
P2C12,473MICH3,473,MI,91AE89,Actinomyces sp. ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
P2C2,444MIDB3,444,MI,89CI43 (g),Rothia mucilaginosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Micrococcaceae; Rothia.
P2C3,444ANCV10,444,AN,89CI37 (g),Campylobacter concisus CHRB 2370,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter
P2C4,470MIGC2,470,MI,91AE66,Rothia mucilaginosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2C5,471MICH1,471,MI,91AE69,Streptococci spp. ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2C6,471MICH2,471,MI,91AE70,Gemella spp. ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Bacillales;Family XI;Gemella;
P2C7,471MICH3,471,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2C8,471MIGC1,471,MI,91AE75,Rothia sp. THG-N7,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2C9,471MIGC2,471,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2D1,473MICH4,473,MI,85GH54,Rothia mucilaginosa Oral Taxon 681 (eHOMD 98.3%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2D10,474MICH5,474,MI,91AE92,Neisseria sp. 260,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;
P2D11,475MIGC1,475,MI,91AE87,Streptococcus salivarius ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2D12,474MIGC3,474,MI,91AE83,Neisseria mucosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;
P2D2,473MICH6,473,MI,91AE90,Actinomyces sp. ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
P2D3,474MIGC1,474,MI,91AE82,Rothia sp. THG-T3,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2D4,474MIGC2,474,MI,85GH55,Rothia mucilaginosa Oral Taxon 681 (eHOMD 98.3%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2D5,474MIGC4,474,MI,91AE84,Rothia dentocariosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2D6,474MIGC5,474,MI,91AE85,Rothia mucilaginosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2D7,474MIGC6,474,MI,91AE86,Streptococcus spp.,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2D8,474MICH2,474,MI,91AE91 (FAILED)/85GH56,Rothia mucilaginosa Oral Taxon 681 (eHOMD 98.2%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2D9,474MICH4,474,MI,91AE81,Streptococcus salivarius subsp. salivarius,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2E1,444ANBT13,444,AN,89CI34 (g),Scardovia wiggisiae 29D03,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Scardovia
P2E10,526MICB9,526,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2E11,526MICB10,526,MI,33FJ91,Streptococcus infantis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2E12,526MICH1,526,MI,33FJ92,Micrococcus endophyticus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;
P2E2,526MICB1,526,MI,33FJ85,Rothia mucilaginosa ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2E3,526MICB2,526,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2E4,526MICB3,526,MI,33FJ86,Rothia dentocariosa,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2E5,526MICB4,526,MI,33FJ87,Streptococcus mitis ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2E6,526MICB5,526,MI,33FJ88,Neisseria flavescens,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseria;
P2E7,526MICB6,526,MI,33FJ89,Rothia aeria,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2E8,526MICB7,526,MI,33FJ90,Streptococcus mitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2E9,526MICB8,526,MI,85GH57,Actinomyces sp. Oral Taxon 169 clone AG004 (99.4%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F1,526MICH2,526,MI,33FJ93,Rothia aeria,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
P2F10,526ANCB6,526,AN,33FJ99,Veillonella sp. 2011_Oral_VSA_B9 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2F11,526ANCB7,526,AN,33GA00,Streptococcus vestibularis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2F12,526ANCB8,526,AN,33GA01 (FAILED),NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F2,526MICH3,526,MI,85GH58,Streptococcus salivarius subsp. salivarius (SILVA 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F3,526MICH4,526,MI,85GH59,Gemella haemolysans Oral Taxon 626 (eHOMD 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F4,526MICH5,526,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F5,526ANCB1,526,AN,33FJ95,Streptococcus salivarius subsp. salivarius ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2F6,526ANCB2,526,AN,33FJ96,Streptococcus sp. HMSC062D07 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2F7,526ANCB3,526,AN,33FJ97 (FAILED),NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F8,526ANCB4,526,AN,33FJ98 (FAILED),NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2F9,526ANCB5,526,AN,33FJ94,Streptococcus mitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G1,526ANCB9,526,AN,33GA02,Streptococcus sp. HMSC062D07 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G10,526ANCH6,526,AN,33GA11,Actinomyces sp. ChDC B645 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
P2G11,526ANBT1,526,AN,33GA12,Streptococcus salivarius subsp. salivarius ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G12,526ANBT3,526,AN,33GA13,Streptococcus vestibularis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G2,526ANCB10,526,AN,33GA03,Streptococcus infantis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G3,526ANCB11,526,AN,33GA04,Streptococcus parasanguinis II,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G4,526ANCB12,526,AN,33GA05 (FAILED)/85GH65,Streptococcus parasanguis II (eHOMD 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2G5,526ANCH1,526,AN,33GA06,Streptococcus parasanguinis II,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G6,526ANCH2,526,AN,33GA07,Streptococcus infantis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G7,526ANCH3,526,AN,33GA08,Veillonella sp. 2011_Oral_VSA_B8,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P2G8,526ANCH4,526,AN,33GA09,Streptococcus vestibularis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2G9,526ANCH5,526,AN,33GA10,Streptococcus mitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2H1,526ANBT4,526,AN,33GA14 (FAILED)/85GH66,Streptococcus australis (eHOMD 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2H10,526ANCB-RPD6-4,526,AN,33GA24,Streptococcus sanguinis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2H11,526ANCB-RPD6-5,526,AN,33GA25,Parvimonas micra ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Parvimonas;
P2H12,526ANCB-RPD6-6,526,AN,33GA26,Streptococcus salivarius subsp. salivarius ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2H2,526ANBT9,526,AN,85GH67,Streptococcus salivarius subsp. salivarius (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2H3,526ANBT10,526,AN,33GA18 (FAILED)/86BI10,Streptococcus salivarius subsp. salivarius (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2H4,526ANBT12,526,AN,86BI11,Streptococcus mitis (SILVA 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P2H5,526ANCB-RPD2-1,526,AN,33GA19,Streptococcus mitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2H6,526ANCB-RPD2-2,526,AN,33GA20,Streptococcus mitis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P2H7,526ANCB-RPD6-1,526,AN,33GA21,Actinomyces sp. ChDC B645 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
P2H8,526ANCB-RPD6-2,526,AN,33GA22,Prevotella nanceiensis ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella.
P2H9,526ANCB-RPD6-3,526,AN,33GA23,Prevotella melaninogenica,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella.
P3A1,533ANPYGM1,533,AN,33GA64 (FAILED),NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3A10,533ANBHTW2,533,AN,33GA57,Streptococcus sp. Oral Taxon 061 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3A11,533ANBHTW3,533,AN,86BI13,Streptococcus sp. 2_1_36FAA (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3A12,533ANBHTW4,533,AN,33GA59,Gemella sanguinis ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Bacillales;Family XI;Gemella;
P3A2,533ANPYGM3,533,AN,86BI12,Actino uncultured,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3A3,533ANPYGM4,533,AN,33GA65 (FAILED),NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3A4,533ANCB1,533,AN,33GA50,Streptococcus sp. Oral Taxon 061 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3A5,533ANCB2,533,AN,33GA51,Streptococcus mitis ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3A6,533ANCB3,533,AN,33GA52,Streptococcus gordonii ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3A7,533ANCB4,533,AN,33GA53,Lachnospiraceae[G-1] sp. Oral Taxon 107 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;
P3A8,533ANCB5,533,AN,33GA54,Veillonella atypica ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Veillonella
P3A9,533ANCB7,533,AN,33GA55 (FAILED) /86BI15,Streptococcus sanguinis (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B1,533ANBHTW5,533,AN,33GA60 (FAILED)/86BI14,Streptococcus sanguinis (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B10,533ANCB-RPD6-2,533,AN,86BI22,Streptococcus sanguinis (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B11,533ANCB-RPD6-3,533,AN,86BI23,Streptococcus sanguinis (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B12,533ANCB-RPD6-4,533,AN,86BI24,Actinomyces uncultured,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B2,533ANBHTW6,533,AN,33GA61,Streptococcus mitis ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3B3,533ANBHTW7,533,AN,33GA62,Streptococcus gordonii ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
P3B4,533ANBHTW8,533,AN,86BI17,Streptococcus parasanguinis II (eHOMD 99.4%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B5,533ANCB8,533,AN,86BI16,Streptococcus uncultured,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B6,533ANBHTW9,533,AN,86BI18,Streptococcus sp. 2_1_36FAA (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B7,533ANBHTW10,533,AN,86BI19,Streptococcus parasanguinis II (eHOMD 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B8,533ANCB6,533,AN,86BI20,Rothia uncultured,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3B9,533ANCB-RPD6-1,533,AN,86BI21,Streptococcus sanguinis (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C1,533ANCB-RPD6-5,533,AN,86BI25,Streptococcus mitis (eHOMD 99.3%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C10,535ANBHTW3,535,AN,86BI34,Veillonella dispar (eHOMD 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C11,535ANBHTW4,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C12,535ANBHTW6,535,AN,86BI36,Veillonella sp. OK7-1 (SILVA 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C2,533ANCB-RPD6-6,533,AN,86BI26,Actinomyces sp. Oral Taxon 169 (eHOMD 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C3,533ANCB-RPD6-7,533,AN,86BI27,Streptococcus sanguinis (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C4,533ANCB-RPD6-8,533,AN,86BI28,Actinomyces sp. Oral Taxon 169 (eHOMD 99.3%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C5,533ANCB-RPD6-9,533,AN,86BI29,Streptococcus mitis (eHOMD 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C6,533ANCB-RPD6-10,533,AN,86BI30,Streptococcus sanguinis (SILVA 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C7,533ANBHTW1,533,AN,86BI31,Paenibacillus sp. canine oral taxon 438 (SILVA 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C8,535ANBHTW1,535,AN,86BI32,Streptococcus salivarius subsp. salivarius (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3C9,535ANBHTW2,535,AN,86BI33,Streptococcus mitis (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D1,535ANBHTW7,535,AN,86BI37,Streptococcus sanguinis Oral Taxon 758 (eHOMD 99.1%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D10,535ANCH-RPD6-1,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D11,535ANCH-RPD6-2,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D12,535ANCH-RPD6-3,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D2,535ANCB1,535,AN,86BI38,Actinomyces sp. Oral Taxon 180 (eHOMD 99.1%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D3,535ANCB2,535,AN,86BI39,Rothia mucilaginosa Oral Taxon 681 (eHOMD 98.1%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D4,535ANCB5,535,AN,86BI40,Streptococcus parasanguis II Oral Taxon 411 (eHOMD 99.4%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D5,535ANCB6,535,AN,86BI41,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D6,535ANCB10,535,AN,86BI42,Rothia mucilaginosa (eHOMD 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D7,535ANBB-RPD6-1,535,AN,86BI43,Streptococcus cristatus (SILVA 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D8,535ANBB-RPD6-2,535,AN,86BI44,Streptococcus oralis (eHOMD 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3D9,535ANBB-RPD6-3,535,AN,86BI45,Granulicatella adiacens (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E1,535ANCH-RPD6-4,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E10,536ANBB7,536,AN,86BI65,Streptococcus gordonii (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E11,536ANBB8,536,AN,86BI66,Actinomyces odontolyticus (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E12,536ANBB5,536,AN,86BI67,Campylobacter showae (SILVA 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E2,535ANCH-RPD6-5,535,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E3,536ANCB1,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E4,536ANCB2,536,AN,86BI46,Streptococcus gordonii (SILVA 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E5,536ANCB3,536,AN,86BI60,Streptococcus constellatus subsp. constellatus (SILVA 99.7%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E6,536ANCB4,536,AN,86BI61,Streptococcus gordonii (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E7,536ANBB1,536,AN,86BI62,Streptococcus mitis ATCC 49456 (eHOMD 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E8,536ANBB2,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3E9,536ANBB4,536,AN,86BI64,Streptococcus mitis ATCC 49456 (eHOMD 99.8%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F1,536ANCH1,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F10,536ANBB9,536,AN,86BI72,Veillonella dispar DSM 20735 (eHOMD 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F2,536ANCH2,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F3,536ANCB8,536,AN,86BI68,Actinomyces graevenitzii CCUG 27294 (eHOMD 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F4,536ANCB9,536,AN,86BI69,Veillonella dispar DSM 20735 (eHOMD 99.5%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F5,536ANCB12,536,AN,86BI70,Rothia aeria (eHOMD 99.4%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F6,536ANCH3,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F7,536ANCH4,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F8,536ANCH5,536,AN,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P3F9,536ANBB6,536,AN,86BI71,Streptococcus gordonii (SILVA 99.9%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
